ID,Name,District,Address,Contact,Homepage,Upvote,Main Entrance Access Road,Handicap Parking,Main Entrance Slope Way,Disabled Escalator,Disabled Toilet,Disabled Lodging Facility,Disabled Seat,Disabled Ticket Office,Service for the visually-impaired,Service for the hearing-impaired,Information Service,Wheelchair Rental
152,Cais Gallery,Gangnam-gu,"13, Eonju-ro174-gil",02-511-0668,http://www.caisgallery.com/,0,Y,Y,Y,Y,N,N,N,N,N,N,N,Y
154,Seoul citizen Gwangnaru safety experience center,Gwangjin-gu,Neungdong-ro 238 (Neungdong),02-2049-4061,http://safe119.seoul.go.kr/gwangnaru,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y
165,Memorial Hall of Doctor Bonggil Yoon,Seocho-gu,"99, Maeheon-ro",02-557-9932,http://www.yunbonggil.or.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y
166,Lotte World Folk Museum,Songpa-gu,"240, Olympic-ro",02-411-4761~5,http://www.lotteworld.com/museum/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y
178,One (One&J) Gallery,Jongno-gu,"31-14, Bukchon-ro",02-745-1644,http://www.oneandj.com/,3,Y,Y,Y,N,N,N,N,N,N,N,N,Y
185,Mokin Museum,Jongno-gu,"20, Insadong 11-gil",02-722-5066,http://www.mokinmuseum.com/,0,Y,Y,Y,N,N,N,N,N,N,N,N,Y
191,Seoul Museum of Art,Jung-gu,"61, Deoksugung-gil (37, Seosomun-dong)",02-2124-8800,http://sema.seoul.go.kr,1,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y
194,Bank of Korea Main Building (Monetary Finance Museum),Jung-gu,"39, Namdaemun-ro",02-759-4881,http://museum.bok.or.kr/,0,N,N,N,Y,Y,N,N,N,N,N,N,Y
99,Songeun Gallery,Gangnam-gu,"Samtan Building, 421, Yeongdong-daero (Daechi-dong)",02-3448-0100,http://www.songeunartspace.org,1,N,Y,N,Y,N,N,N,N,N,N,N,N
6,Yangjae Citizen's Forest,Seocho-gu,"99, Maeheon-ro",02-575-3895,http://parks.seoul.go.kr/template/sub/citizen.do,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y
12,Gyeongbokgung,Jongno-gu,"161, Sajik-Ro",02-3700-3900,http://www.royalpalace.go.kr/,18,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y
7,Unhyeongung,Jongno-gu,464 Samil-daero (Unni-dong),02-766-9090,http://www.unhyeongung.or.kr/,3,Y,N,Y,N,Y,N,N,Y,N,N,N,Y
1,Yeouido Park,Yeongdeungpo-gu,"68, Yeouigongwon-ro",02-761-4078,http://parks.seoul.go.kr/template/sub/yeouido.do,0,Y,N,Y,N,Y,N,N,N,Y,N,Y,Y
5,Boramae Park,Dongjak-gu,"33, Yeouidaebang-ro 20-gil",02-2181-1183,http://parks.seoul.go.kr/template/sub/boramae.do,2,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y
106,Seoul Namseoul Museum of Art,Gwanak-gu,Nambu Beltway 2076,02-598-6247,http://sema.seoul.go.kr/it/artinfo/southart/getIntro,0,Y,N,N,N,Y,N,N,N,N,N,N,N
186,Bukchon Cultural Center,Jongno-gu,"37, Gyedong-gil",02-2133-1371,http://bukchon.seoul.go.kr/,0,Y,Y,Y,N,N,N,N,N,N,N,N,Y
192,Deoksugung Museum of Art,Jung-gu,"99 Sejong-daero, National Museum of Modern and Contemporary Art, Deoksugung",02-2022-0600,http://www.mmca.go.kr/,0,Y,Y,Y,N,Y,N,N,N,N,N,N,Y
70,Heunginjimun,Jongno-gu,Jongno 288,02-2148-1844,http://korean.visitseoul.net/attractions/흥인지문동대문_/1999,0,Y,N,N,N,N,N,N,N,N,N,N,N
147,Yehwarang,Gangnam-gu,"18, Apgujeong-ro 12-gil",02-542-5543,http://www.galleryyeh.com/,0,Y,Y,Y,Y,N,N,N,N,N,N,N,Y
2,Seonyudo Park,Yeongdeungpo-gu,"343, Seonyu-ro",02-2631-9368,http://parks.seoul.go.kr/template/sub/seonyudo.do,0,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y
10,Buk Seoul Dream Forest,Gangbuk-gu,"173, Wolgye-Ro",02-2289-4001,http://parks.seoul.go.kr/template/sub/dreamforest.do,0,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y
96,Horim Museum (Shinsa Annex),Gangnam-gu,"317, Dosan-daero",02-541-3523,http://horimmuseum.org/sinsa/,0,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y
162,"Hangaram Museum of Art, Seoul Arts Center",Seocho-gu,Nambu Beltway 2406,02-580-1300,http://www.sac.or.kr/,1,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y
188,Samsung Publishing Museum,Jongno-gu,Bibong-gil 2-2,02-394-6544,http://ssmop.org/,1,Y,Y,Y,N,N,N,N,N,N,N,N,Y
190,Cheonggyecheon Berlin Square,Jung-gu,"86, Cheonggyecheon-ro",,,0,N,N,N,N,N,N,N,N,N,N,N,N
200,Paijaehakdang History Museum,Jung-gu,"Baejaejeong-dong Building, 19, Seosomun-ro 11-gil, East Building",02-319-5578,http://appenzeller.pcu.ac.kr/,0,Y,Y,Y,N,N,N,N,N,N,N,N,Y
193,Sindang Creation Arcade,Jung-gu,"87, Majang-ro, Sindang Underground Shopping Center (in Jungang Market)",02-2232-8833,http://cafe.naver.com/sdarcade/,0,Y,Y,Y,N,Y,N,N,N,N,N,N,Y
18,Jungnang Camping Forest,Jungnang-gu,"110, Mangwoo-ro 87-gil",02-434-4371,http://parks.seoul.go.kr/template/sub/JungnangCampGround.do,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y
15,Deoksugung,Jung-gu,"99, Sejong-daero",02-771-9951,http://www.deoksugung.go.kr,7,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y
160,Presidential House,Mapo-gu,Donggyo-ro 15-gil 10,02-3144-2038,http://www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?mc=NS_04_03_01&VdkVgwKey=790413000011&flag=Y,0,Y,Y,Y,N,N,N,N,N,N,N,N,Y
161,Seodaemun Prison History Hall,Seodaemun-gu,101,02-360-8584,http://www.sscmc.or.kr/newhistory/index_culture.asp,1,Y,Y,Y,N,Y,N,N,N,N,N,N,Y
182,Gahoe Museum,Jongno-gu,"17, Bukchon-ro 12-gil",02-741-0466,http://www.gahoemuseum.org/,1,Y,Y,Y,N,N,N,N,N,N,N,N,Y
198,Son Ki-jeong Memorial Hall,Jung-gu,Songijeong-ro 101 Songijeong Sports Park,02-364-1936,http://www.sonkeechung.com/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y
71,Creative door,Jongno-gu,Changimun-ro 118,02-730-9924,http://korean.visitseoul.net/attractions/창의문_/3266,1,N,N,N,N,N,N,N,N,N,N,N,N
184,Donglim Knot Museum,Jongno-gu,"10, Bukchon-ro 12-gil",02-3673-2778,http://www.shimyoungmi.com/,1,Y,Y,Y,N,N,N,N,N,N,N,N,Y
189,Chunwondang Oriental Medicine Museum,Jongno-gu,"27, Donhwamun-ro 9-gil",02-3672-2005,http://www.cwdmuseum.com/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y
26,National 4.19 Democratic Cemetery,Gangbuk-gu,"17, 4.19-ro 8-gil",02-996-0419,http://419.mpva.go.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y
81,Hwangudan,Jung-gu,"106, Sogong-ro",02-3396-5880,http://korean.visitseoul.net/attractions/%20%20%20%20%20%20_/4198,0,N,N,N,N,N,N,N,N,N,N,N,N
